formal,informal
امکان اتصال به سرور وجود ندارد,نمیشه وصل شد به سرور
شما مجاز به انجام این عملیات نیستید,اجازه نداری این کارو بکنی
خطا در ارسال اطلاعات,دیتا نرفت
لطفاً کد امنیتی را وارد کنید,کد امنیتی رو بزن
درخواست شما با موفقیت انجام شد,درخواستت انجام شد
فرایند بازیابی حساب شروع شد,حساب داره بازیابی می‌شه
امکان ویرایش اطلاعات وجود ندارد,نمی‌تونی دیتا رو عوض کنی
اطلاعات شما معتبر نمی‌باشد,دیتات معتبر نیست
لطفاً رمز عبور خود را تأیید کنید,رمزتو تایید کن
خطا در ذخیره اطلاعات,دیتا ذخیره نشد
این سرویس در دسترس نمی‌باشد,سرویس فعلاً نیست
درخواست شما رد شد,درخواستت رد شد
لطفاً کد فعال‌سازی را بررسی کنید,کد فعال‌سازی رو چک کن
شما قبلاً وارد سیستم شده‌اید,قبلاً لاگین کردی
امکان ثبت چندین بار وجود ندارد,نمیشه چند بار ثبت کرد
فرایند بازیابی رمز عبور کامل شد,رمز بازیابی تموم شد
لطفاً پیام خود را وارد کنید,پیامت رو بده
خطا در اتصال اینترنت,اینترنت قطع شد
اطلاعات شما به‌درستی ثبت شده است,دیتات درست ثبت شده
این گزینه غیر فعال است,این گزینه خاموشه
لطفاً وارد حساب کاربری شوید,وارد حسابت شو
عملیات غیرمجاز است,این کار مجاز نیست
امکان تغییر این تنظیم وجود ندارد,نمی‌شه این تنظیم رو عوض کرد
لطفاً فرم را به طور کامل پر کنید,فرم رو کامل کن
درخواست شما در صف انتظار است,درخواستت تو صفه
امکان حذف حساب کاربری وجود ندارد,نمی‌شه حساب رو پاک کرد
لطفاً اطلاعات خود را به‌روزرسانی کنید,دیتاتو آپدیت کن
خطا در بارگذاری داده‌ها,داده‌ها لود نشدن
شما به این بخش دسترسی ندارید,اجازه نداری این بخش بری
فرایند ثبت نام ناموفق بود,ثبت‌نام انجام نشد
لطفاً رمز عبور را تغییر دهید,رمزتو عوض کن
این حساب کاربری فعال نیست,این حساب فعاله نیست
امکان استفاده از این ایمیل وجود ندارد,این ایمیل قابل استفاده نیست
لطفاً شماره موبایل معتبر وارد کنید,شماره موبایل درست بده
درخواست بازیابی رمز عبور ارسال شد,درخواست بازیابی فرستاده شد
اطلاعات شما ذخیره نشده است,دیتات ذخیره نشده
لطفاً فایل را انتخاب کنید,یک فایل انتخاب کن
عملیات ورود موفق بود,وارد شدی
امکان ارسال فایل وجود ندارد,نمی‌تونی فایل بفرستی
لطفاً تاریخ را وارد کنید,تاریخ رو بده
درخواست شما پذیرفته شد,درخواستت قبول شد
شما قبلاً این بخش را تکمیل کرده‌اید,قبلاً این بخشو تموم کردی
خطا در بارگذاری تصویر,تصویر لود نشد
لطفاً رمز عبور جدید وارد کنید,رمز جدیدو بزن
امکان تغییر ایمیل وجود ندارد,نمی‌تونی ایمیل رو عوض کنی
این حساب کاربری مسدود شده است,این حساب بسته شده
درخواست شما در حال پردازش است,در حال پردازش درخواستت هستیم
لطفاً صبر کنید,کمی صبر کن
خطا در اتصال به پایگاه داده,دیتابیس وصل نشد
لطفاً مجدداً تلاش نمایید,یه بار دیگه تلاش کن
این ویژگی در نسخه جدید فعال شده است,این قابلیت تازه اضافه شده
امکان ثبت اطلاعات وجود ندارد,نمی‌شه اطلاعات ثبت کرد
شما قبلاً این درخواست را ارسال کرده‌اید,قبلاً این درخواست رو فرستادی
فرایند بازیابی حساب با خطا مواجه شد,بازیابی حساب خطا داد
لطفاً نام کاربری را وارد کنید,نام کاربریت رو بده
درخواست شما لغو شده است,درخواستت لغو شده
امکان دسترسی به این صفحه وجود ندارد,نمی‌تونی این صفحه رو ببینی
لطفاً اطلاعات را به دقت وارد کنید,دقت کن و اطلاعات بده
شما از این سرویس استفاده نکرده‌اید,از این سرویس استفاده نکردی
خطا در ارسال درخواست,درخواست فرستاده نشد
لطفاً تنظیمات امنیتی خود را بررسی کنید,تنظیمات امنیتیتو چک کن
این گزینه غیر فعال است,این گزینه خاموشه
عملیات ذخیره سازی موفقیت‌آمیز بود,دیتا ذخیره شد
لطفاً آدرس ایمیل معتبر وارد کنید,آدرس ایمیل درست بده
شما مجاز به استفاده از این بخش نیستید,اجازه نداری این قسمت رو استفاده کنی
فرایند تایید شماره تلفن انجام شد,شماره تلفنت تایید شد
درخواست شما ثبت نهایی شد,درخواستت ثبت شد
لطفاً به قوانین و مقررات توجه کنید,قوانین رو بخون
امکان ثبت نام با این شماره وجود ندارد,نمیشه با این شماره ثبت‌نام کرد
شما در سیستم لاگین نیستید,وارد سیستم نشدی
لطفاً کد فعال‌سازی را وارد کنید,کد فعالسازی رو بده
امکان استفاده از رمز عبور قبلی وجود ندارد,نمی‌تونی رمز قبلی رو بزنی
درخواست شما تایید نهایی نشده است,درخواست تایید نشده
شما قبلاً این پیام را دریافت کرده‌اید,قبلاً این پیام رو گرفتی
لطفاً اطلاعات کارت اعتباری را وارد کنید,دیتای کارت اعتباری رو بده
خطا در ارتباط با سرور,سرور وصل نیست
لطفاً تصویر پروفایل خود را بارگذاری کنید,عکس پروفایلت رو بفرست
درخواست شما در حال بررسی است,درخواستت بررسی می‌شه
امکان استفاده از این نام کاربری وجود ندارد,این نام کاربری قابل استفاده نیست
شما نمی‌توانید این پیام را حذف کنید,نمی‌تونی این پیام رو پاک کنی
لطفاً یک پسورد قوی انتخاب کنید,پسورد قوی بزن
درخواست شما ارسال شد,درخواستت فرستاده شد
این فایل قبلاً آپلود شده است,این فایل قبلاً فرستاده شده
شما قبلاً وارد شده‌اید,قبلاً لاگین کردی
لطفاً دوباره تلاش کنید,یه بار دیگه سعی کن
امکان ثبت تغییرات وجود ندارد,نمی‌شه تغییرات ثبت کرد
درخواست شما نامعتبر است,درخواستت درست نیست
شما از این گزینه نمی‌توانید استفاده کنید,نمی‌تونی این گزینه رو بزنی
لطفاً فرم را بررسی کنید,فرم رو چک کن
خطا در ذخیره تغییرات,تغییرات ذخیره نشد
درخواست شما تایید شد,درخواست تایید شد
شما به این بخش دسترسی ندارید,اجازه نداری وارد شی
لطفاً شماره تلفن همراه خود را وارد کنید,شماره موبایلتو بده
امکان ویرایش حساب وجود ندارد,نمی‌تونی حساب رو ویرایش کنی
فرایند بازیابی موفقیت‌آمیز بود,بازیابی انجام شد
لطفاً نام و نام خانوادگی را وارد کنید,اسم و فامیلت رو بده
درخواست شما رد شد,درخواست رد شد
شما قبلاً این فرم را تکمیل کرده‌اید,قبلاً این فرم رو پر کردی
لطفاً یک ایمیل معتبر وارد کنید,ایمیل درست بده
خطا در بارگذاری اطلاعات,اطلاعات لود نشد
درخواست شما ارسال نشد,درخواستت نرفت
لطفاً نام کاربری معتبر وارد کنید,یک نام کاربری درست بده
امکان افزودن این مورد وجود ندارد,نمی‌تونی اینو اضافه کنی
درخواست شما لغو شد,درخواستت لغو شد
شما نمی‌توانید این حساب را حذف کنید,نمی‌تونی این حسابو پاک کنی
لطفاً رمز عبور فعلی را وارد کنید,رمز فعلیت رو بزن
خطا در اتصال به سرور,سرور وصل نیست
درخواست شما در حال پردازش است,در حال پردازش هستیم
امکان ثبت نام وجود ندارد,نمیشه ثبت‌نام کرد
شما قبلاً این درخواست را ارسال کرده‌اید,قبلاً این درخواست رو فرستادی
لطفاً اطلاعات تماس خود را وارد کنید,تماس‌هات رو بده
فرایند ثبت نام با موفقیت انجام شد,ثبت‌نامت موفق بود
درخواست شما پذیرفته شده است,درخواستت پذیرفته شده
خطا در بارگذاری صفحه,صفحه لود نشد
شما نمی‌توانید این گزینه را انتخاب کنید,نمی‌تونی این گزینه رو بزنی
لطفاً رمز عبور خود را تغییر دهید,رمزتو عوض کن
درخواست شما لغو گردید,درخواستت لغو شد
امکان ارسال پیام وجود ندارد,نمی‌تونی پیام بفرستی
شما مجاز به انجام این عملیات نیستید,اجازه نداری این کارو بکنی
لطفاً کد تایید را وارد کنید,کد تایید رو بزن
درخواست شما موفقیت‌آمیز بود,درخواست موفق بود
امکان ویرایش اطلاعات وجود ندارد,نمی‌تونی اطلاعاتو عوض کنی
لطفاً آدرس پستی خود را وارد کنید,آدرس پستی رو بده
درخواست شما رد شده است,درخواست رد شده
شما نمی‌توانید این فایل را دانلود کنید,نمی‌تونی این فایل رو بگیری
لطفاً ایمیل خود را تایید کنید,ایمیل رو تایید کن
خطا در ارسال ایمیل,ایمیل نرفت
درخواست شما ارسال شد,درخواستت فرستاده شد
امکان بازیابی اطلاعات وجود ندارد,دیتا قابل بازیابی نیست
لطفاً اطلاعات پروفایل خود را تکمیل کنید,پروفایلتو کامل کن
شما قبلاً این فایل را دانلود کرده‌اید,قبلاً این فایل رو گرفتی
لطفاً یک رمز عبور قوی انتخاب کنید,پسورد قوی بزن
درخواست شما رد شد,درخواست رد شده
شما به این صفحه دسترسی ندارید,اجازه نداری این صفحه رو ببینی
لطفاً شماره تلفن خود را تایید کنید,شمارتو تایید کن
امکان افزودن نظر وجود ندارد,نمی‌تونی نظر اضافه کنی
درخواست شما با موفقیت ثبت شد,درخواستت ثبت شد
شما قبلاً این پیام را ارسال کرده‌اید,قبلاً این پیام رو فرستادی
لطفاً اطلاعات خود را اصلاح کنید,داده‌هاتو درست کن
خطا در به‌روزرسانی اطلاعات,آپدیت اطلاعات خطا داد
درخواست شما تایید نشده است,درخواست تایید نشده
شما نمی‌توانید این بخش را حذف کنید,نمی‌تونی این قسمت رو پاک کنی
لطفاً ایمیل معتبر وارد کنید,یک ایمیل درست بده
درخواست شما در حال بررسی است,درخواستت بررسی می‌شه
امکان استفاده از این گزینه وجود ندارد,نمی‌تونی این گزینه رو بزنی
لطفاً کد امنیتی را وارد کنید,کد امنیتی رو بده
درخواست شما لغو شد,درخواست لغو شد
شما مجاز به انجام این عمل نیستید,اجازه نداری این کارو بکنی
لطفاً اطلاعات خود را بررسی کنید,داده‌هاتو چک کن
درخواست شما با خطا مواجه شد,درخواست خطا داد
امکان ثبت تغییرات وجود ندارد,تغییرات ثبت نشد
لطفاً یک فایل انتخاب کنید,یک فایل انتخاب کن
شما نمی‌توانید این حساب را ویرایش کنید,نمی‌تونی این حسابو عوض کنی
فایل ذخیره شد,سیو شد
خطای اتصال رخ داد,قطع شد
در حال دانلود هستیم,داریم میگیریم
دسترسی رد شد,نذاشتن
عملیات متوقف شد,ایستادیم
سرور پاسخ نداد,جواب نداد
فایل ارسال شد,فرستادیم
محدودیت دارید,نمیتونی
در حال آپلود هستیم,داریم میفرستیم
فایل کپی شد,کپی کردیم
زمان تمام شد,تموم شد
خطای سیستمی پیش آمد,مشکل پیدا شد
در حال اسکن هستیم,داریم چک میکنیم
دسترسی تایید شد,اجازه دادی
عملیات آغاز شد,شروع کردیم
سرور آماده است,آمادس
فایل تغییر کرد,عوض شد
محدودیت اعمال شد,بستن
در حال انتظار هستیم,صبر میکنیم
لطفاً شماره ملی خود را وارد کنید,کد ملیتو بده
درخواست شما تایید شده است,درخواستت تأیید شد
شما نمی‌توانید این پیام را ویرایش کنید,نمیشه این پیامو تغییر بدی
لطفاً رمز عبور را دوباره وارد کنید,رمزتو دوباره بزن
امکان ارسال فایل‌های بزرگ وجود ندارد,فایل بزرگ نمی‌شه فرستاد
درخواست شما به درستی ثبت شد,درخواست درست ثبت شد
شما به این بخش دسترسی ندارید,دسترسی نداری به این بخش
لطفاً تاریخ تولد خود را وارد کنید,تاریخ تولدت رو بده
امکان تغییر نام کاربری وجود ندارد,نمیشه نام کاربری رو تغییر داد
درخواست شما رد شد,درخواست رد شد
شما قبلاً این گزینه را انتخاب کرده‌اید,این گزینه رو قبلاً زدی
لطفاً اطلاعات حساب خود را وارد کنید,اطلاعات حسابت رو بده
خطا در بارگذاری فایل,فایل لود نشد
درخواست شما موفقیت‌آمیز بود,درخواست موفق بود
شما نمی‌توانید این فایل را ویرایش کنید,نمیشه این فایل رو تغییر داد
لطفاً ایمیل خود را وارد کنید,ایمیل رو وارد کن
امکان ثبت اطلاعات جدید وجود ندارد,نمی‌تونیم دیتا جدید ثبت کنیم
درخواست شما لغو شد,درخواست لغو شد
شما مجاز به حذف این فایل نیستید,اجازه نداری این فایل رو پاک کنی
لطفاً شماره تلفن خود را وارد کنید,شماره تلفنت رو بده
خطا در ارسال درخواست,درخواست ارسال نشد
درخواست شما در صف انتظار است,در صف انتظار هست
شما نمی‌توانید این حساب کاربری را تغییر دهید,نمی‌تونی این حسابو عوض کنی
لطفاً رمز عبور فعلی را وارد کنید,رمز فعلیتو وارد کن
امکان بازیابی رمز عبور وجود ندارد,نمی‌شه رمز رو بازیابی کرد
درخواست شما ثبت شد,درخواست ثبت شد
شما به این بخش دسترسی ندارید,اجازه نداری وارد شی
لطفاً نام کامل خود را وارد کنید,اسم کاملتو وارد کن
خطا در ارتباط با سرور,سرور خطا داد
درخواست شما رد شد,درخواست رد شد
شما قبلاً این فرم را پر کرده‌اید,فرم رو قبلاً پر کردی
لطفاً اطلاعات تماس خود را وارد کنید,اطلاعات تماس بده
امکان افزودن نظر وجود ندارد,نمی‌تونی نظر بزاری
درخواست شما ارسال نشد,درخواست نرفت
شما نمی‌توانید این گزینه را انتخاب کنید,نمی‌تونی این گزینه رو بزنی
لطفاً فایل مورد نظر را انتخاب کنید,فایل رو انتخاب کن
خطا در بارگذاری تصویر,تصویر لود نشد
درخواست شما تایید نهایی نشده است,درخواست تأیید نشده
شما قبلاً این پیام را دریافت کرده‌اید,قبلاً این پیام رو گرفتی
لطفاً اطلاعات کارت اعتباری خود را وارد کنید,اطلاعات کارت بده
امکان استفاده از این نام کاربری وجود ندارد,نام کاربری قابل استفاده نیست
درخواست شما موفق بود,درخواست موفقیت‌آمیز بود
شما نمی‌توانید این پیام را حذف کنید,نمیشه پیام رو پاک کرد
لطفاً یک پسورد قوی انتخاب کنید,پسورد قوی بزن
درخواست شما ارسال شد,درخواست فرستاده شد
این فایل قبلاً آپلود شده است,این فایل قبلاً ارسال شده
شما قبلاً وارد شده‌اید,قبلاً لاگین کردی
لطفاً دوباره تلاش کنید,یه بار دیگه سعی کن
امکان ثبت تغییرات وجود ندارد,تغییرات ثبت نشد
درخواست شما نامعتبر است,درخواست نامعتبر است
شما از این گزینه نمی‌توانید استفاده کنید,نمی‌تونی از این گزینه استفاده کنی
لطفاً فرم را بررسی کنید,فرم رو چک کن
خطا در ذخیره تغییرات,تغییرات ذخیره نشد
درخواست شما تایید شد,درخواست تأیید شد
شما به این بخش دسترسی ندارید,اجازه نداری وارد شی
لطفاً شماره تلفن همراه خود را وارد کنید,شماره موبایلتو بده
امکان ویرایش حساب وجود ندارد,نمی‌تونی حساب ویرایش کنی
فرایند بازیابی موفقیت‌آمیز بود,بازیابی انجام شد
لطفاً نام و نام خانوادگی را وارد کنید,اسم و فامیلتو بده
درخواست شما رد شد,درخواست رد شده
شما قبلاً این فرم را تکمیل کرده‌اید,فرم رو قبلاً پر کردی
لطفاً یک ایمیل معتبر وارد کنید,ایمیل درست بده
خطا در بارگذاری اطلاعات,اطلاعات لود نشد
درخواست شما ارسال نشد,درخواست ارسال نشد
لطفاً نام کاربری معتبر وارد کنید,نام کاربری درست بده
امکان افزودن این مورد وجود ندارد,نمی‌تونی این موردو اضافه کنی
درخواست شما لغو شد,درخواست لغو شد
شما نمی‌توانید این حساب را حذف کنید,نمی‌تونی این حسابو پاک کنی
لطفاً رمز عبور فعلی را وارد کنید,رمز فعلیت رو بزن
خطا در اتصال به سرور,سرور وصل نیست
درخواست شما در حال پردازش است,در حال پردازش هستیم
امکان ثبت نام وجود ندارد,نمیشه ثبت‌نام کرد
شما قبلاً این درخواست را ارسال کرده‌اید,قبلاً این درخواست رو فرستادی
لطفاً اطلاعات تماس خود را وارد کنید,تماس‌هات رو بده
فرایند ثبت نام با موفقیت انجام شد,ثبت‌نام موفق بود
درخواست شما پذیرفته شده است,درخواست پذیرفته شد
خطا در بارگذاری صفحه,صفحه لود نشد
شما نمی‌توانید این گزینه را انتخاب کنید,نمی‌تونی این گزینه رو بزنی
لطفاً رمز عبور خود را تغییر دهید,رمزتو عوض کن
درخواست شما لغو گردید,درخواست لغو شد
امکان ارسال پیام وجود ندارد,نمی‌تونی پیام بفرستی
شما مجاز به انجام این عملیات نیستید,اجازه نداری این کارو بکنی
لطفاً کد تایید را وارد کنید,کد تایید رو بزن
درخواست شما موفقیت‌آمیز بود,درخواست موفق بود
امکان ویرایش اطلاعات وجود ندارد,نمی‌تونی اطلاعاتو عوض کنی
لطفاً آدرس پستی خود را وارد کنید,آدرس پستی بده
درخواست شما رد شده است,درخواست رد شده
شما نمی‌توانید این فایل را دانلود کنید,نمی‌تونی این فایل رو بگیری
لطفاً ایمیل خود را تایید کنید,ایمیل رو تایید کن
خطا در ارسال ایمیل,ایمیل نرفت
درخواست شما ارسال شد,درخواست فرستاده شد
امکان بازیابی اطلاعات وجود ندارد,دیتا قابل بازیابی نیست
لطفاً اطلاعات پروفایل خود را تکمیل کنید,پروفایلتو کامل کن
شما قبلاً این فایل را دانلود کرده‌اید,قبلاً این فایل رو گرفتی
لطفاً یک رمز عبور قوی انتخاب کنید,پسورد قوی بزن
درخواست شما رد شد,درخواست رد شده
شما به این صفحه دسترسی ندارید,اجازه نداری این صفحه رو ببینی
لطفاً شماره تلفن خود را تایید کنید,شمارتو تایید کن
امکان افزودن نظر وجود ندارد,نمی‌تونی نظر اضافه کنی
درخواست شما با موفقیت ثبت شد,درخواست ثبت شد
شما قبلاً این پیام را ارسال کرده‌اید,قبلاً این پیام رو فرستادی
لطفاً اطلاعات خود را اصلاح کنید,داده‌هاتو درست کن
خطا در به‌روزرسانی اطلاعات,آپدیت خطا داد
درخواست شما تایید نشده است,درخواست تأیید نشده
شما نمی‌توانید این بخش را حذف کنید,نمی‌تونی این بخشو پاک کنی
لطفاً ایمیل معتبر وارد کنید,یک ایمیل درست بده
درخواست شما در حال بررسی است,درخواستت بررسی می‌شه
امکان استفاده از این گزینه وجود ندارد,نمی‌تونی این گزینه رو بزنی
لطفاً کد امنیتی را وارد کنید,کد امنیتی رو بده
درخواست شما لغو شد,درخواست لغو شد
شما مجاز به انجام این عمل نیستید,اجازه نداری این کارو بکنی
لطفاً اطلاعات خود را بررسی کنید,داده‌هاتو چک کن
درخواست شما با خطا مواجه شد,درخواست خطا داد
امکان ثبت تغییرات وجود ندارد,تغییرات ثبت نشد
لطفاً یک فایل انتخاب کنید,یک فایل انتخاب کن
شما نمی‌توانید این حساب را ویرایش کنید,نمی‌تونی این حسابو عوض کنی
لطفاً شماره تماس همراه خود را دقیق وارد نمایید,شماره موبایل دقیق و درست بده
درخواست شما با موفقیت ثبت شد و در حال پردازش است,درخواستت ثبت شد و داره پردازش میشه
شما اجازه دسترسی به این صفحه را ندارید، لطفاً با مدیر تماس بگیرید,دسترسی به این صفحه نداری، با مدیر تماس بگیر
رمز عبور وارد شده نادرست است، لطفاً مجدداً تلاش کنید,رمزی که زدی اشتباهه، دوباره بزن
برای تکمیل ثبت‌نام باید ایمیل خود را تایید کنید,برای ثبت‌نام کامل ایمیل رو باید تأیید کنی
امکان بارگذاری فایل با حجم بالا در حال حاضر وجود ندارد,فایل بزرگ رو نمی‌شه الان آپلود کرد
درخواست شما رد شده است، لطفاً دلیل را بررسی و دوباره ارسال کنید,درخواست رد شد، دلیلش رو چک کن و دوباره بفرست
لطفاً نام و نام خانوادگی خود را به طور کامل وارد نمایید,اسم و فامیلتو کامل وارد کن
شما نمی‌توانید این عملیات را انجام دهید زیرا مجوز لازم را ندارید,اجازه نداری این کار رو بکنی
خطا در اتصال به سرور، لطفاً اتصال اینترنت خود را بررسی کنید,سرور وصل نشد، اینترنتتو چک کن
درخواست شما با موفقیت انجام شد و نتیجه به ایمیل شما ارسال خواهد شد,درخواست موفق بود، نتیجه میره ایمیلت
لطفاً تمامی فیلدهای ضروری را تکمیل نمایید تا بتوانید ادامه دهید,همه جاهای لازم رو پر کن تا بری جلو
امکان تغییر اطلاعات پس از تایید نهایی وجود ندارد,بعد از تأیید نمی‌تونی اطلاعاتو عوض کنی
شما قبلاً این فرم را تکمیل کرده‌اید و امکان ویرایش آن وجود ندارد,فرم رو قبلاً پر کردی، ویرایش نمی‌شه
لطفاً برای بازیابی رمز عبور، ایمیل ثبت شده خود را وارد کنید,برای بازیابی رمز ایمیلت رو بده
درخواست شما در صف انتظار قرار دارد، لطفاً شکیبا باشید,درخواستت تو صفه، یه کم صبر کن
شما نمی‌توانید فایل‌های با پسوند غیرمجاز را بارگذاری کنید,فایل‌هایی که فرمت‌شون قبول نیست رو نمی‌شه آپلود کرد
برای ادامه باید قوانین و مقررات را مطالعه و قبول نمایید,قبل ادامه دادن قوانین رو بخون و قبول کن
لطفاً برای ارسال نظر خود، نام و ایمیل معتبر وارد کنید,برای نظر دادن نام و ایمیل درست بده
امکان ثبت نام با این شماره موبایل قبلاً انجام شده است,این شماره موبایل قبلاً ثبت شده
درخواست شما با خطا مواجه شده است، لطفاً مجدداً تلاش نمایید,درخواستت خطا داد، دوباره امتحان کن
شما نمی‌توانید اطلاعات حساب کاربری را بدون تایید ایمیل تغییر دهید,قبل تغییر حساب باید ایمیلت تایید شده باشه
لطفاً تصویر پروفایل خود را با فرمت jpg یا png آپلود کنید,عکس پروفایل باید jpg یا png باشه
درخواست لغو شده است، در صورت نیاز می‌توانید دوباره اقدام کنید,درخواست لغو شد، اگر لازم بود دوباره بفرست
امکان استفاده از این کد تخفیف برای شما وجود ندارد,نمی‌تونی این کد تخفیف رو استفاده کنی
لطفاً قبل از ارسال فرم، تمامی اطلاعات وارد شده را بازبینی کنید,قبل ارسال فرم همه داده‌ها رو چک کن
شما مجاز به مشاهده این محتوا نیستید، لطفاً وارد حساب کاربری شوید,نباید این محتوا رو ببینی، اول وارد شو
امکان بازیابی این نوع داده‌ها پس از حذف وجود ندارد,بعد حذف، داده‌ها قابل بازیابی نیستن
لطفاً برای مشاهده این صفحه، وارد حساب کاربری خود شوید,برای دیدن این صفحه اول وارد حساب شو
درخواست شما تایید نهایی نشده است، لطفاً مراحل را کامل کنید,درخواستت کامل تایید نشده، مراحل رو کامل کن
شما نمی‌توانید این پیام را بعد از ارسال ویرایش نمایید,بعد فرستادن نمی‌شه پیام رو تغییر داد
لطفاً رمز عبور خود را حداقل هشت کاراکتر انتخاب کنید,رمز عبورت باید حداقل هشت تا حرف باشه
امکان آپلود فایل‌هایی با حجم بیشتر از ۵۰ مگابایت وجود ندارد,فایل بیشتر از ۵۰ مگ نمی‌شه آپلود کرد
درخواست شما با موفقیت ارسال شده و منتظر پاسخ باشید,درخواستت رفت، منتظر جواب بمون
شما نمی‌توانید چندین بار از یک کد تخفیف استفاده کنید,نمی‌شه یک کد تخفیف رو چندبار بزنی
لطفاً برای ادامه، شماره تلفن همراه خود را وارد و تایید نمایید,برای ادامه شماره موبایل رو بده و تأیید کن
امکان تغییر زبان برنامه از تنظیمات پروفایل شما وجود دارد,می‌تونی زبان برنامه رو از پروفایل تغییر بدی
درخواست شما نامعتبر است، لطفاً اطلاعات وارد شده را بررسی کنید,درخواستت نامعتبره، داده‌ها رو چک کن
شما نمی‌توانید اطلاعات شخصی دیگران را ویرایش کنید,نمی‌تونی اطلاعات دیگران رو تغییر بدی
لطفاً قبل از ارسال، از صحت اطلاعات وارد شده اطمینان حاصل نمایید,قبل ارسال مطمئن شو داده‌ها درست هستن
درخواست شما به درستی ثبت شده و در کوتاه‌ترین زمان بررسی خواهد شد,درخواست ثبت شد و بزودی بررسی می‌شه
شما قبلاً در این سیستم ثبت نام کرده‌اید، لطفاً وارد شوید,قبلاً ثبت نام کردی، لطفاً لاگین کن
لطفاً برای افزایش امنیت حساب، تایید دو مرحله‌ای را فعال کنید,برای امنیت بیشتر تایید دو مرحله‌ای رو روشن کن
درخواست شما در حال پردازش است، لطفاً صبر کنید تا نتیجه اعلام شود,درخواست داره پردازش می‌شه، صبر کن
شما نمی‌توانید این فایل را بدون داشتن مجوز مناسب دانلود کنید,بدون اجازه نمی‌تونی فایل رو دانلود کنی
لطفاً قبل از ثبت نام، قوانین و شرایط استفاده را مطالعه نمایید,قبل ثبت نام قوانین رو بخون
امکان ویرایش این فرم پس از ارسال وجود ندارد,بعد فرستادن فرم رو نمی‌شه عوض کرد
درخواست شما لغو شده و هیچ هزینه‌ای از شما کسر نخواهد شد,درخواست لغو شد، پولی ازت کم نمیشه
شما نمی‌توانید اطلاعات تماس خود را بدون تایید ایمیل تغییر دهید,قبل تغییر شماره تماس باید ایمیل تایید شده باشه
لطفاً برای بازیابی رمز عبور، کد تایید ارسال شده به ایمیل خود را وارد کنید,کد تایید ایمیلت رو برای بازیابی رمز بزن
امکان ارسال پیام‌های تبلیغاتی برای کاربران غیرفعال شده است,پیام تبلیغاتی برای کاربران بسته شده
درخواست شما با موفقیت تایید و فعال شده است,درخواستت تأیید و فعال شد
شما مجاز به دسترسی به این بخش از برنامه نیستید، لطفاً مجوز دریافت کنید,اجازه نداری این بخش رو ببینی، باید مجوز بگیری
لطفاً برای ادامه، شماره موبایل خود را با فرمت صحیح وارد نمایید,شماره موبایلت رو درست و با فرمت بده
درخواست شما در حال بررسی توسط تیم پشتیبانی است، لطفاً منتظر بمانید,درخواست داره توسط پشتیبانی بررسی می‌شه
شما نمی‌توانید این پیام را بدون تایید دریافت‌کننده ارسال کنید,قبل فرستادن باید دریافت‌کننده تأیید کنه
لطفاً فایل آپلود شده را با حجم کمتر از ۱۰ مگابایت انتخاب نمایید,فایل کمتر از ۱۰ مگ باید باشه
درخواست شما رد شده است، لطفاً علت را در ایمیل خود بررسی نمایید,درخواست رد شد، دلیلشو ایمیلت ببین
شما نمی‌توانید چندین بار به صورت همزمان درخواست ارسال کنید,نمی‌تونی چندتا درخواست همزمان بفرستی
لطفاً قبل از ادامه، تمامی شرایط و مقررات را مطالعه و قبول نمایید,شرایط و قوانین رو بخون و قبول کن
درخواست شما با موفقیت ثبت و در صف بررسی قرار گرفت,درخواست ثبت و تو صف بررسیه
شما مجاز به استفاده از این قابلیت نیستید، لطفاً اشتراک خود را ارتقا دهید,این قابلیت برای شما نیست، اشتراکتو ارتقا بده
لطفاً برای افزایش امنیت، سوالات امنیتی خود را تنظیم کنید,برای امنیت بیشتر سوالات امنیتی بذار
درخواست شما در حال پردازش است و به زودی نتیجه اعلام خواهد شد,درخواست داره پردازش می‌شه و بزودی جواب میاد
شما نمی‌توانید اطلاعات کارت بانکی خود را بدون تایید شماره موبایل تغییر دهید,قبل تغییر کارت باید شماره موبایل تأیید شده باشه
لطفاً برای ثبت نام، ایمیل و شماره موبایل معتبر وارد نمایید,برای ثبت نام ایمیل و موبایل درست بده
درخواست شما ناموفق بود، لطفاً بعداً مجدداً تلاش کنید,درخواست موفق نبود، بعداً دوباره سعی کن
شما نمی‌توانید این فایل را بدون اجازه صاحب آن دانلود نمایید,بدون اجازه صاحب فایل نمی‌تونی دانلود کنی
لطفاً رمز عبور جدید خود را با دقت وارد نمایید,رمز جدیدتو با دقت بزن
درخواست شما با موفقیت ثبت و به تیم مربوطه ارسال شد,درخواست ثبت و فرستاده شد تیم مربوطه
شما نمی‌توانید اطلاعات حساب کاربری دیگران را مشاهده نمایید,نمی‌تونی اطلاعات حساب دیگران رو ببینی
لطفاً برای ادامه، شماره تماس خود را وارد و تایید نمایید,برای ادامه شماره تماس بده و تأیید کن
درخواست شما در صف انتظار قرار گرفته و به زودی پاسخ داده خواهد شد,درخواست تو صفه و بزودی جواب می‌دهند
شما نمی‌توانید پیام‌های غیرمجاز ارسال کنید، لطفاً قوانین را رعایت نمایید,پیام غیرمجاز نفرست، قوانین رو رعایت کن
لطفاً برای تایید نهایی، ایمیل خود را بازبینی و لینک تایید را کلیک کنید,برای تأیید نهایی ایمیلت رو باز کن و کلیک کن
